sku_id,category,subcategory,launch_date,unit_cost,list_price
NBL-1065,Small Appliances,Blenders,2023-03-22,11.64,19.66
NBL-1066,Furnishings,Storage,2023-02-07,109.68,294.95
NBL-1067,Decor,Vases,2023-08-11,94.78,284.34
NBL-1068,Small Appliances,Air Purifiers,2023-01-31,39.22,77.61
NBL-1069,Furnishings,Tables,2024-02-04,79.6,133.63
NBL-1070,Décor,Vases,2024-01-02,25.49,74.78
NBL-1071,Small Appliances,Heaters,2024-04-27,153.09,466.04
NBL-1072,Furnishings,Sofas,2023-08-13,142.07,373.36
NBL-1073,Decor,Vases,2024-06-01,100.2,242.76
NBL-1074,Small Appliances,Kettles,2024-08-06,74.24,194.75
NBL-1075,Furnishings,Chairs,2023-02-12,90.19,204.46
NBL-1076,Decor,Wall Art,2023-08-25,71.02,150.85
NBL-1077,Small Appliances,Blenders,2023-05-09,59.06,184.16
NBL-1078,Furnishings,Tables,2024-08-20,64.48,158.41
NBL-1079,Decor,Rugs,2023-12-09,146.36,358.93
NBL-1080,Small Appliances,Air Purifiers,2023-02-20,134.4,258.57
NBL-1081,FURNISHINGS,Chairs,2023-12-19,30.72,79.35
NBL-1082,DECOR,Lighting,2024-05-23,22.53,69.79
NBL-1083,Small Appliances,Heaters,2023-04-29,110.11,314.06
NBL-1084,FURNISHINGS,Storage,2024-10-13,51.58,131.23
NBL-1085,Decor,Lighting,2024-03-07,37.46,93.8
NBL-1086,Small Appliances,Blenders,2023-11-23,97.89,276.27
NBL-1087,FURNISHINGS,Tables,2023-12-11,111.13,343.39
NBL-1088,Decor,Wall Art,2024-05-19,121.15,274.98
NBL-1089,Small Appliances,Kettles,2023-05-26,65.39,198.61
NBL-1090,Furnishings,Tables,2024-03-20,70.64,148.56
NBL-1091,Decor,Rugs,2024-11-03,169.01,388.83
NBL-1092,Small Appliances,Kettles,2023-03-31,103.11,319.42
NBL-1093,Furnishings,Tables,2024-03-04,72.73,231.18
NBL-1094,Decor,Rugs,2024-08-15,28.38,84.03
NBL-1095,small appliances,Heaters,2023-03-27,109.18,294.54
NBL-1096,Furnishings,Sofas,2023-11-15,149.97,310.82
NBL-1097,Decor,Rugs,2023-11-06,59.93,183.96
NBL-1098,Small Appliances,Air Purifiers,2023-03-19,179.49,539.68
NBL-1099,Furnishings,Storage,2024-08-08,26.3,84.12
NBL-1100,decor,Wall Art,2024-03-31,23.56,71.51
NBL-1101,Small Appliances,Kettles,2023-11-14,141.6,271.47
NBL-1102,Furnishing,Sofas,2023-07-22,14.22,22.88
NBL-1103,Decor,Vases,2024-02-29,145.85,289.03
NBL-1104,Small Appliances,Kettles,2023-02-10,145.77,449.62
NBL-1105,Furnishings,Storage,2024-05-03,152.13,253.18
NBL-1106,Decor,Wall Art,2023-03-29,94.78,264.65
NBL-1107,Small Appliances,Kettles,2024-08-18,34.7,96.31
NBL-1108,Furnishings,Sofas,2023-07-09,130.1,412.2
NBL-1109,Decor,Lighting,2023-02-08,114.01,190.14
NBL-1110,Small Appliances,Blenders,2024-05-11,37.78,65.99
NBL-1111,Furnishings,Chairs,2024-11-17,86.87,247.97
NBL-1112,Decor,Vases,2024-02-05,32.96,102.63
NBL-1113,Small Appliances,Blenders,2024-02-09,128.36,338.71
NBL-1114,Furnishings,Sofas,2023-04-14,95.44,214.4
NBL-1115,Decor,Wall Art,2023-03-25,31.06,63.52
NBL-1116,Small Appliances,Air Purifiers,2023-10-27,113.09,295.78
NBL-1117,Furnishings,Sofas,2023-10-14,45.43,115.45
NBL-1118,Decor,Vases,2023-01-26,79.96,188.59
NBL-1119,Small Appliances,Kettles,2024-02-05,105.31,286.78
NBL-1120,Furnishings,Tables,2024-04-01,62.39,178.43
NBL-1121,Decor,Wall Art,2023-10-29,115.67,251.82
NBL-1122,Small Appliances,Heaters,2024-05-30,160.46,493.2
NBL-1123,Furnishings,Tables,2023-12-31,145.58,306.17
NBL-1124,Decor,Rugs,2023-12-12,27.93,47.91
NBL-1125,Small Appliances,Heaters,2023-02-08,56.27,120.11
NBL-1126,Furnishings,Tables,2023-08-08,135.74,220.37
NBL-1127,Decor,Lighting,2024-08-22,72.03,132.95
NBL-1128,Small Appliances,Air Purifiers,2023-03-25,70.77,221.76
NBL-1129,Furnishings,Chairs,2024-06-24,61.49,166.04
NBL-1130,Decor,Vases,2023-09-29,118.23,191.2
NBL-1131,Small Appliances,Heaters,2024-01-03,36.17,67.47
NBL-1132,Furnishings,Storage,2024-11-23,103.63,304.93
NBL-1133,DECOR,Lighting,2023-04-10,85.1,189.61
NBL-1134,Small Appliances,Heaters,2023-01-29,88.72,163.34
NBL-1135,Furnishings,Chairs,2023-06-20,15.68,30.93
NBL-1136,Décor,Vases,2023-05-17,108.87,260.12
NBL-1137,Small Appliances,Blenders,2023-06-20,153.1,401.14
NBL-1138,Furnishings,Chairs,2024-04-14,139.22,235.7
NBL-1139,Decor,Lighting,2024-01-13,66.21,195.4
NBL-1140,Small Appliances,Air Purifiers,2024-06-22,154.55,372.1
NBL-1141,Furnishings,Chairs,2024-02-15,154.25,330.86
NBL-1142,Decor,Vases,2024-01-07,26.06,58.31
NBL-1143,Small Appliances,Air Purifiers,2024-03-17,38.53,82.54
NBL-1144,Furnishings,Chairs,2023-01-18,167.52,388.17
NBL-1145,Decor,Wall Art,2024-02-23,9.26,18.94
NBL-1146,Small Appliances,Air Purifiers,2024-03-19,176.87,458.55
NBL-1147,Furnishings,Storage,2024-06-17,163.37,449.78
NBL-1148,Decor,Lighting,2024-07-01,157.09,280.02
NBL-1149,Small Appliances,Heaters,2023-11-05,103.13,272.94
NBL-1014,Small Appliances,Air Purifiers,2024-02-03,32.05,57.15
NBL-1098,Small Appliances,Air Purifiers,2023-03-19,179.49,539.68
NBL-1075,Furnishings,Chairs,2023-02-12,90.19,204.46
